OBJECTID,FMR_0BDR,FMR_1BDR,FMR_2BDR,FMR_3BDR,FMR_4BDR,FMR_CODE,FMR_AREANAME,SHAPE_Length,SHAPE_Area
1,547,580,710,894,970,METRO23460M23460,"Gadsden, AL MSA",0.507410838734927,0.0128020219090239
2,643,764,914,1156,1494,METRO33860M33860,"Montgomery, AL MSA",0.773570188911395,0.0174888228762948
3,758,762,927,1162,1257,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",0.434463944496201,0.00480397472824113
4,758,762,927,1162,1257,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",0.942624688074786,0.0286369834979473
5,758,762,927,1162,1257,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",0.973509036264006,0.0246333059280597
6,758,762,927,1162,1257,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",0.891869522624337,0.02788573970881
7,758,762,927,1162,1257,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",1.07976134999543,0.0264110344796857
8,758,762,927,1162,1257,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",0.987508055156408,0.0334751513326965
9,647,757,897,1189,1428,METRO26620M26620,"Huntsville, AL MSA",0.673508344553323,0.0157363212111658
10,647,757,897,1189,1428,METRO26620M26620,"Huntsville, AL MSA",1.54178359754265,0.0608003492613827
11,662,690,861,1148,1244,METRO33660M33660,"Mobile, AL HUD Metro FMR Area",2.11757858225436,0.0205499973768386
12,546,586,727,1033,1154,NCNTY01031N01031,"Coffee County, AL",1.10906177267101,0.0390224497503982
13,546,586,727,1033,1154,NCNTY01031N01031,"Coffee County, AL",0.734268016679691,0.0202990077830228
14,546,586,727,1033,1154,NCNTY01031N01031,"Coffee County, AL",0.745108469901892,0.0198025423669623
15,643,764,914,1156,1494,METRO33860M33860,"Montgomery, AL MSA",1.53593381352142,0.0458744770846887
16,583,619,705,978,982,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",0.814247322887722,0.0250847902596962
17,530,619,705,922,1040,NCNTY01099N01099,"Monroe County, AL",1.36732620541824,0.0390479051502564
18,530,619,705,922,1040,NCNTY01099N01099,"Monroe County, AL",1.47628288420244,0.0579854559816636
19,530,619,705,922,1040,NCNTY01099N01099,"Monroe County, AL",1.27798858024318,0.0499728587184538
20,530,619,705,922,1040,NCNTY01099N01099,"Monroe County, AL",1.07594324306754,0.0410060246193375
21,530,619,705,922,1040,NCNTY01099N01099,"Monroe County, AL",1.00171794062269,0.0350502367703032
22,772,777,1017,1348,1715,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",1.67556546658301,0.0318236088281191
23,772,777,1017,1348,1715,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",2.68184959525138,0.043703911386087
24,772,777,1017,1348,1715,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",0.650782888844038,0.0123290472919514
25,772,777,1017,1348,1715,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",1.08166982921176,0.0301586028609051
26,772,777,1017,1348,1715,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",1.7000863360932,0.0954103942198788
27,525,575,751,935,1173,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",1.02302236248793,0.0260355141619726
28,525,575,751,935,1173,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",0.806587292930556,0.0272453263319614
29,525,575,751,935,1173,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",0.938486957359434,0.0282140670321232
30,525,575,751,935,1173,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",0.890121168046686,0.0351342918113192
31,525,575,751,935,1173,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",0.822546826441146,0.0214538655066016
32,540,630,718,888,1062,NCNTY01105N01105,"Perry County, AL",0.982743808791815,0.0308864065506848
33,540,630,718,888,1062,NCNTY01105N01105,"Perry County, AL",0.848399271049421,0.0212812146530399
34,540,630,718,888,1062,NCNTY01105N01105,"Perry County, AL",1.16565655146515,0.0291335059518657
35,554,592,720,946,1009,METRO19460M19460,"Decatur, AL MSA",0.638850318379578,0.0187297007483974
36,554,592,720,946,1009,METRO19460M19460,"Decatur, AL MSA",0.991298653951896,0.0356204926073811
37,554,592,720,946,1009,METRO19460M19460,"Decatur, AL MSA",0.822954922609889,0.0194201019159351
38,554,592,720,946,1009,METRO19460M19460,"Decatur, AL MSA",1.07010087682101,0.0334811339505931
39,530,550,705,1001,1207,NCNTY01025N01025,"Clarke County, AL",1.47764767478641,0.0359903028390305
40,530,550,705,1001,1207,NCNTY01025N01025,"Clarke County, AL",1.30224304888229,0.0465211421139574
41,530,550,705,1001,1207,NCNTY01025N01025,"Clarke County, AL",1.45771736491671,0.0651310343484301
42,530,550,705,1001,1207,NCNTY01025N01025,"Clarke County, AL",0.977216920711184,0.0237206505413963
43,550,553,715,957,970,NCNTY01095N01095,"Marshall County, AL",0.561929163750445,0.0151149908663359
44,550,553,715,957,970,NCNTY01095N01095,"Marshall County, AL",0.755281128711422,0.0207535219380271
45,550,553,715,957,970,NCNTY01095N01095,"Marshall County, AL",0.733264130268564,0.0156976384245759
46,550,553,715,957,970,NCNTY01095N01095,"Marshall County, AL",0.976982779214662,0.0219266370553103
47,550,553,715,957,970,NCNTY01095N01095,"Marshall County, AL",0.851908453090015,0.0241658644245843
48,550,553,715,957,970,NCNTY01095N01095,"Marshall County, AL",1.0860254004412,0.0214255204219966
49,589,602,783,968,1158,NCNTY01011N01011,"Bullock County, AL",1.0960773038247,0.0382963235192112
50,561,565,705,929,1043,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",0.939023783714556,0.0207827742594938
51,643,764,914,1156,1494,METRO33860M33860,"Montgomery, AL MSA",1.38581487562119,0.0391221416710665
52,546,552,726,915,1243,NCNTY01087N01087,"Macon County, AL",1.19884228988839,0.0263326574128547
53,634,666,843,1051,1247,NCNTY01109N01109,"Pike County, AL",1.16486016751768,0.0335808548518099
54,634,666,843,1051,1247,NCNTY01109N01109,"Pike County, AL",0.917507248546637,0.0253372976198244
55,643,764,914,1156,1494,METRO33860M33860,"Montgomery, AL MSA",1.10274711764396,0.03731702795562
56,643,764,914,1156,1494,METRO33860M33860,"Montgomery, AL MSA",0.760504695253243,0.0281848839809758
57,550,563,732,905,1083,NCNTY01037N01037,"Coosa County, AL",1.43243000445484,0.0640054314418623
58,530,536,705,932,1206,NCNTY01093N01093,"Marion County, AL",0.924552828119265,0.0221356462685545
59,654,724,827,1122,1415,METRO17980M17980,"Columbus, GA-AL HUD Metro FMR Area",0.936544421415565,0.0209859658750875
60,654,724,827,1122,1415,METRO17980M17980,"Columbus, GA-AL HUD Metro FMR Area",1.28957126230357,0.0319350080700227
61,654,724,827,1122,1415,METRO17980M17980,"Columbus, GA-AL HUD Metro FMR Area",1.630921800692,0.0646411410642932
62,654,724,827,1122,1415,METRO17980M17980,"Columbus, GA-AL HUD Metro FMR Area",1.03188770388638,0.0429093807169147
63,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",1.32460430677632,0.040798663766224
64,765,820,943,1220,1316,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",0.86097458987405,0.0234028315230708
